region,tech,step,year,capacity
NY,Battery_Storage,1,2034,1.39
CA,Battery_Storage,1,2035,1.53
TX,Battery_Storage,1,2035,0
NY,Battery_Storage,1,2035,1.39
CA,Solar_utility,1,2030,3.17
TX,Solar_utility,1,2030,4.15
NY,Solar_utility,1,2030,2.48
CA,Solar_utility,1,2031,3.17
TX,Solar_utility,1,2031,4.15
NY,Solar_utility,1,2031,2.48
CA,Solar_utility,1,2032,3.17
TX,Solar_utility,1,2032,4.15
NY,Solar_utility,1,2032,2.48
CA,Solar_utility,1,2033,3.17
TX,Solar_utility,1,2033,4.15
NY,Solar_utility,1,2033,2.48
CA,Solar_utility,1,2034,3.17
TX,Solar_utility,1,2034,4.15
NY,Solar_utility,1,2034,2.48
CA,Solar_utility,1,2035,3.17
TX,Solar_utility,1,2035,4.15
NY,Solar_utility,1,2035,2.48
TX,Solar_end_use,1,2030,2
TX,Solar_end_use,1,2031,2.2
TX,Solar_end_use,1,2032,2.3
TX,Solar_end_use,1,2033,2.4
TX,Solar_end_use,1,2034,2.5
TX,Solar_end_use,1,2035,2.6
CA,Solar_end_use,1,2030,6.8
CA,Solar_end_use,1,2031,7.3
CA,Solar_end_use,1,2032,7.6
CA,Solar_end_use,1,2033,7.8
CA,Solar_end_use,1,2034,8
CA,Solar_end_use,1,2035,8.1
NY,Solar_end_use,1,2030,1.9
NY,Solar_end_use,1,2031,2
NY,Solar_end_use,1,2032,2.1
NY,Solar_end_use,1,2033,2.2
NY,Solar_end_use,1,2034,2.3
NY,Solar_end_use,1,2035,2.3
