region,hour,Load
TX,1,20.63476823307511
TX,2,20.175336232773756
TX,3,19.846552671713347
TX,4,19.67891663403142
TX,5,19.65952864593561
TX,6,19.897753958970313
TX,7,20.63323912721908
TX,8,21.632014265329065
TX,9,22.47181736122377
TX,10,22.788547876863465
TX,11,22.918766775543208
TX,12,22.91069821124734
TX,13,22.802354694344274
TX,14,22.658707532018333
TX,15,22.49569094477629
TX,16,22.38977204307831
TX,17,22.473351427131806
TX,18,23.0688513177522
TX,19,24.081027288078275
TX,20,24.07315199324132
TX,21,23.62084347755959
TX,22,23.063746788399282
TX,23,22.296554207417653
TX,24,21.471979419864425
TX,25,21.609290041642957
TX,26,21.112720247598897
TX,27,20.803280958913987
TX,28,20.660695272530596
TX,29,20.650849481836662
TX,30,20.921054175953373
TX,31,21.734656894951925
TX,32,22.903063472536186
TX,33,23.82734227092495
TX,34,24.13666306235335
TX,35,24.20924319109679
TX,36,24.15103880331087
TX,37,23.976210333308895
TX,38,23.787617574277807
TX,39,23.593079603618317
TX,40,23.434173519000684
TX,41,23.48906804631511
TX,42,24.140642960645188
TX,43,25.14850354344778
TX,44,25.144137366037437
TX,45,24.693195424931133
TX,46,24.10257380527484
TX,47,23.277083600407284
TX,48,22.388492313576453
TX,49,21.374655436090276
TX,50,20.897526214644945
TX,51,20.521618794812685
TX,52,20.3602728554143
TX,53,20.376541773899707
TX,54,20.684831979425255
TX,55,21.593580033057105
TX,56,22.909833492019068
TX,57,23.914306003106105
TX,58,24.164866056601277
TX,59,24.146686596747184
TX,60,23.999806395550394
TX,61,23.846221477847322
TX,62,23.655973865112443
TX,63,23.474735570752888
TX,64,23.30979001609466
TX,65,23.362914422979397
TX,66,23.985055149506724
TX,67,25.04598149162196
TX,68,25.067779859305215
TX,69,24.618580673935092
TX,70,24.05028712401264
TX,71,23.244944463352414
TX,72,22.387063571887815
TX,73,20.94415763589237
TX,74,20.438824334024595
TX,75,20.08393804373981
TX,76,19.94165066239863
TX,77,19.971359312816954
TX,78,20.317586517438684
TX,79,21.308824182801946
TX,80,22.70899934790647
TX,81,23.76769380245144
TX,82,24.034905606778956
TX,83,24.00696657156449
TX,84,23.89736416847057
TX,85,23.700930114448138
TX,86,23.523234448230077
TX,87,23.34882872352279
TX,88,23.176758200749173
TX,89,23.188141734939222
TX,90,23.74133466776804
TX,91,24.719738518827768
TX,92,24.722194274794184
TX,93,24.276766910563865
TX,94,23.695260499457085
TX,95,22.88576230601228
TX,96,22.03225425438016
TX,97,21.079282065189386
TX,98,20.57214574858814
TX,99,20.21140984712724
TX,100,20.045916811416173
TX,101,20.030963586835703
TX,102,20.368138738086405
TX,103,21.269088853797133
TX,104,22.588733501800643
TX,105,23.62089399796719
TX,106,23.898095568478908
TX,107,23.861683063355272
TX,108,23.731962060731135
TX,109,23.53262424642722
TX,110,23.34757444118615
TX,111,23.182582167868752
TX,112,23.04263422640646
TX,113,23.092076013161382
TX,114,23.686095921964085
TX,115,24.710610923344422
TX,116,24.72331807950153
TX,117,24.295231123994174
TX,118,23.731185442975857
TX,119,22.930396529273526
TX,120,22.08541912106817
TX,121,21.57535084528609
TX,122,21.111623091844866
TX,123,20.780093780348707
TX,124,20.607504686923647
TX,125,20.603798188927552
TX,126,20.937490488092156
TX,127,21.795784576497862
TX,128,23.10311852175411
TX,129,24.096995597580182
TX,130,24.31682558190754
TX,131,24.270454382974002
TX,132,24.103253173566117
TX,133,23.864399412313443
TX,134,23.642968147194797
TX,135,23.438176330030224
TX,136,23.266840847208194
TX,137,23.30612949044009
TX,138,23.918925425552718
TX,139,24.932383466692414
TX,140,24.93103377375125
TX,141,24.516838132767507
TX,142,23.96364274842964
TX,143,23.178455099428973
TX,144,22.345659354453797
TX,145,21.73317011131899
TX,146,21.260909088715184
TX,147,20.899622743642507
TX,148,20.74632714022664
TX,149,20.758004660233684
TX,150,21.02669263879568
TX,151,21.92025518602108
TX,152,23.22233727898982
TX,153,24.219150489116018
TX,154,24.445912897422236
TX,155,24.358956331629408
TX,156,24.177120351073036
TX,157,23.921331335546355
TX,158,23.665455777961892
TX,159,23.460322142818146
TX,160,23.274663038256236
TX,161,23.318339503980663
TX,162,23.91763587630942
