region,year,hour,price_wt
1,2023,266,13200.0
1,2023,267,13200.0
1,2023,268,13200.0
1,2023,269,13200.0
1,2023,270,13200.0
1,2023,271,13200.0
1,2023,272,13200.0
1,2023,273,13200.0
1,2023,274,13200.0
1,2023,275,13200.0
1,2023,276,13200.0
1,2023,277,13200.0
1,2023,278,13200.0
1,2023,279,13200.0
1,2023,280,13200.0
1,2023,281,15400.0
1,2023,282,15400.0
1,2023,283,15400.0
1,2023,284,15400.0
1,2023,285,15400.0
1,2023,286,15400.0
1,2023,287,13200.0
1,2023,288,13200.0
1,2023,289,13200.0
1,2023,290,13200.0
1,2023,291,13200.0
1,2023,292,13200.0
1,2023,293,13200.0
1,2023,294,13200.0
1,2023,295,13200.0
1,2023,296,13200.0
1,2023,297,13200.0
1,2023,298,13200.0
1,2023,299,12100.0
1,2023,300,12100.0
1,2023,301,12100.0
1,2023,302,12100.0
1,2023,303,12100.0
1,2023,304,12100.0
1,2023,305,13200.0
1,2023,306,13200.0
1,2023,307,13200.0
1,2023,308,13200.0
1,2023,309,13200.0
1,2023,310,13200.0
1,2023,311,13200.0
1,2023,312,13200.0
1,2023,313,13200.0
1,2023,314,13200.0
1,2023,315,13200.0
1,2023,316,13200.0
1,2023,317,13200.0
1,2023,318,13200.0
1,2023,319,13200.0
1,2023,320,13200.0
1,2023,321,13200.0
1,2023,322,13200.0
1,2023,323,13200.0
1,2023,324,13200.0
1,2023,325,13200.0
1,2023,326,13200.0
1,2023,327,13200.0
1,2023,328,13200.0
1,2023,329,13200.0
1,2023,330,13200.0
1,2023,331,13200.0
1,2023,332,13200.0
1,2023,333,13200.0
1,2023,334,13200.0
1,2023,335,13200.0
1,2023,336,13200.0
1,2023,337,13200.0
1,2023,338,13200.0
1,2023,339,13200.0
1,2023,340,13200.0
1,2023,341,13200.0
1,2023,342,13200.0
1,2023,343,13200.0
1,2023,344,13200.0
1,2023,345,13200.0
1,2023,346,13200.0
1,2023,347,12100.0
1,2023,348,12100.0
1,2023,349,12100.0
1,2023,350,12100.0
1,2023,351,12100.0
1,2023,352,12100.0
1,2023,353,13200.0
1,2023,354,13200.0
1,2023,355,13200.0
1,2023,356,13200.0
1,2023,357,13200.0
1,2023,358,13200.0
1,2023,359,13200.0
1,2023,360,13200.0
1,2023,361,13200.0
1,2023,362,13200.0
1,2023,363,13200.0
1,2023,364,13200.0
1,2023,365,13200.0
1,2023,366,13200.0
1,2023,367,13200.0
1,2023,368,13200.0
1,2023,369,13200.0
1,2023,370,13200.0
1,2023,371,13200.0
1,2023,372,13200.0
1,2023,373,13200.0
1,2023,374,13200.0
1,2023,375,13200.0
1,2023,376,13200.0
1,2023,377,13200.0
1,2023,378,13200.0
1,2023,379,13200.0
1,2023,380,13200.0
1,2023,381,13200.0
1,2023,382,13200.0
1,2023,383,13200.0
1,2023,384,13200.0
1,2023,385,13200.0
1,2023,386,13200.0
1,2023,387,13200.0
1,2023,388,13200.0
1,2023,389,13200.0
1,2023,390,13200.0
1,2023,391,13200.0
1,2023,392,13200.0
1,2023,393,13200.0
1,2023,394,13200.0
1,2023,395,13200.0
1,2023,396,13200.0
1,2023,397,13200.0
1,2023,398,13200.0
1,2023,399,13200.0
1,2023,400,13200.0
1,2023,401,13200.0
1,2023,402,13200.0
1,2023,403,13200.0
1,2023,404,13200.0
1,2023,405,13200.0
1,2023,406,13200.0
1,2023,407,13200.0
1,2023,408,13200.0
1,2023,409,13200.0
1,2023,410,13200.0
1,2023,411,13200.0
1,2023,412,13200.0
1,2023,413,13200.0
1,2023,414,13200.0
1,2023,415,13200.0
1,2023,416,13200.0
1,2023,417,13200.0
1,2023,418,13200.0
1,2023,419,13200.0
1,2023,420,13200.0
1,2023,421,13200.0
1,2023,422,13200.0
1,2023,423,13200.0
1,2023,424,13200.0
1,2023,425,13200.0
1,2023,426,13200.0
1,2023,427,13200.0
1,2023,428,13200.0
1,2023,429,13200.0
1,2023,430,13200.0
1,2023,431,13200.0
1,2023,432,13200.0
1,2023,433,13200.0
1,2023,434,13200.0
1,2023,435,13200.0
1,2023,436,13200.0
1,2023,437,13200.0
1,2023,438,13200.0
1,2023,439,13200.0
1,2023,440,13200.0
1,2023,441,13200.0
1,2023,442,13200.0
1,2023,443,12100.0
1,2023,444,12100.0
1,2023,445,12100.0
1,2023,446,12100.0
1,2023,447,12100.0
1,2023,448,12100.0
1,2023,449,13200.0
1,2023,450,13200.0
1,2023,451,13200.0
1,2023,452,13200.0
1,2023,453,13200.0
1,2023,454,13200.0
1,2023,455,13200.0
1,2023,456,13200.0
1,2023,457,13200.0
1,2023,458,13200.0
1,2023,459,13200.0
1,2023,460,13200.0
1,2023,461,13200.0
1,2023,462,13200.0
1,2023,463,13200.0
1,2023,464,13200.0
1,2023,465,13200.0
1,2023,466,13200.0
1,2023,467,13200.0
1,2023,468,13200.0
1,2023,469,13200.0
1,2023,470,13200.0
1,2023,471,13200.0
1,2023,472,13200.0
1,2023,473,15400.0
1,2023,474,15400.0
1,2023,475,15400.0
1,2023,476,15400.0
1,2023,477,15400.0
1,2023,478,15400.0
1,2023,479,13200.0
1,2023,480,13200.0
1,2023,481,13200.0
1,2023,482,13200.0
1,2023,483,13200.0
1,2023,484,13200.0
1,2023,485,13200.0
1,2023,486,13200.0
1,2023,487,13200.0
1,2023,488,13200.0
1,2023,489,13200.0
1,2023,490,13200.0
1,2023,491,13200.0
1,2023,492,13200.0
1,2023,493,13200.0
1,2023,494,13200.0
1,2023,495,13200.0
1,2023,496,13200.0
1,2023,497,13200.0
1,2023,498,13200.0
1,2023,499,13200.0
1,2023,500,13200.0
1,2023,501,13200.0
1,2023,502,13200.0
1,2023,503,13200.0
1,2023,504,13200.0
1,2023,505,13200.0
1,2023,506,13200.0
1,2023,507,13200.0
1,2023,508,13200.0
1,2023,509,13200.0
1,2023,510,13200.0
1,2023,511,13200.0
1,2023,512,13200.0
1,2023,513,13200.0
1,2023,514,13200.0
1,2023,515,13200.0
1,2023,516,13200.0
1,2023,517,13200.0
1,2023,518,13200.0
1,2023,519,13200.0
1,2023,520,13200.0
1,2023,521,13200.0
1,2023,522,13200.0
1,2023,523,13200.0
1,2023,524,13200.0
1,2023,525,13200.0
1,2023,526,13200.0
1,2023,527,13200.0
1,2023,528,13200.0
1,2023,529,13200.0
1,2023,530,13200.0
1,2023,531,13200.0
1,2023,532,13200.0
1,2023,533,13200.0
1,2023,534,13200.0
1,2023,535,13200.0
1,2023,536,13200.0
1,2023,537,13200.0
1,2023,538,13200.0
1,2023,539,13200.0
1,2023,540,13200.0
1,2023,541,13200.0
1,2023,542,13200.0
1,2023,543,13200.0
1,2023,544,13200.0
1,2023,545,15400.0
1,2023,546,15400.0
1,2023,547,15400.0
1,2023,548,15400.0
1,2023,549,15400.0
1,2023,550,15400.0
1,2023,551,13200.0
1,2023,552,13200.0
1,2023,553,13200.0
1,2023,554,13200.0
1,2023,555,13200.0
1,2023,556,13200.0
1,2023,557,13200.0
1,2023,558,13200.0
1,2023,559,13200.0
1,2023,560,13200.0
1,2023,561,13200.0
1,2023,562,13200.0
1,2023,563,13200.0
1,2023,564,13200.0
1,2023,565,13200.0
1,2023,566,13200.0
1,2023,567,13200.0
1,2023,568,13200.0
1,2023,569,15400.0
1,2023,570,15400.0
1,2023,571,15400.0
1,2023,572,15400.0
1,2023,573,15400.0
1,2023,574,15400.0
1,2023,575,13200.0
1,2023,576,13200.0
1,2023,577,13200.0
1,2023,578,13200.0
1,2023,579,13200.0
1,2023,580,13200.0
1,2023,581,13200.0
1,2023,582,13200.0
1,2023,583,13200.0
1,2023,584,13200.0
1,2023,585,13200.0
1,2023,586,13200.0
1,2023,587,13200.0
1,2023,588,13200.0
1,2023,589,13200.0
1,2023,590,13200.0
1,2023,591,13200.0
1,2023,592,13200.0
1,2023,593,13200.0
1,2023,594,13200.0
1,2023,595,13200.0
1,2023,596,13200.0
1,2023,597,13200.0
1,2023,598,13200.0
1,2023,599,13200.0
1,2023,600,13200.0
1,2023,601,13200.0
1,2023,602,13200.0
1,2023,603,13200.0
1,2023,604,13200.0
1,2023,605,13200.0
1,2023,606,13200.0
1,2023,607,13200.0
1,2023,608,13200.0
1,2023,609,13200.0
1,2023,610,13200.0
1,2023,611,13200.0
1,2023,612,13200.0
1,2023,613,13200.0
1,2023,614,13200.0
1,2023,615,13200.0
1,2023,616,13200.0
1,2023,617,13200.0
1,2023,618,13200.0
1,2023,619,13200.0
1,2023,620,13200.0
1,2023,621,13200.0
1,2023,622,13200.0
1,2023,623,13200.0
1,2023,624,13200.0
1,2023,625,13200.0
1,2023,626,13200.0
1,2023,627,13200.0
1,2023,628,13200.0
1,2023,629,13200.0
1,2023,630,13200.0
1,2023,631,13200.0
1,2023,632,13200.0
1,2023,633,13200.0
1,2023,634,13200.0
1,2023,635,13200.0
1,2023,636,13200.0
1,2023,637,13200.0
1,2023,638,13200.0
1,2023,639,13200.0
1,2023,640,13200.0
1,2023,641,13200.0
1,2023,642,13200.0
1,2023,643,13200.0
1,2023,644,13200.0
1,2023,645,13200.0
1,2023,646,13200.0
1,2023,647,13200.0
1,2023,648,13200.0
1,2023,649,13200.0
1,2023,650,13200.0
1,2023,651,13200.0
1,2023,652,13200.0
1,2023,653,13200.0
1,2023,654,13200.0
1,2023,655,13200.0
1,2023,656,13200.0
1,2023,657,13200.0
1,2023,658,13200.0
1,2023,659,13200.0
1,2023,660,13200.0
1,2023,661,13200.0
1,2023,662,13200.0
1,2023,663,13200.0
1,2023,664,13200.0
1,2023,665,15400.0
1,2023,666,15400.0
1,2023,667,15400.0
1,2023,668,15400.0
1,2023,669,15400.0
1,2023,670,15400.0
1,2023,671,13200.0
1,2023,672,13200.0
1,2023,673,13200.0
1,2023,674,13200.0
1,2023,675,13200.0
1,2023,676,13200.0
1,2023,677,13200.0
1,2023,678,13200.0
1,2023,679,13200.0
1,2023,680,13200.0
1,2023,681,13200.0
1,2023,682,13200.0
1,2023,683,13200.0
1,2023,684,13200.0
1,2023,685,13200.0
1,2023,686,13200.0
1,2023,687,13200.0
1,2023,688,13200.0
1,2023,689,13200.0
1,2023,690,13200.0
1,2023,691,13200.0
1,2023,692,13200.0
1,2023,693,13200.0
1,2023,694,13200.0
1,2023,695,13200.0
1,2023,696,13200.0
1,2023,697,13200.0
1,2023,698,13200.0
1,2023,699,13200.0
1,2023,700,13200.0
1,2023,701,13200.0
1,2023,702,13200.0
1,2023,703,13200.0
1,2023,704,13200.0
1,2023,705,13200.0
1,2023,706,13200.0
1,2023,707,13200.0
1,2023,708,13200.0
1,2023,709,13200.0
1,2023,710,13200.0
1,2023,711,13200.0
1,2023,712,13200.0
1,2023,713,15400.0
1,2023,714,15400.0
1,2023,715,15400.0
1,2023,716,15400.0
1,2023,717,15400.0
1,2023,718,15400.0
1,2023,719,13200.0
1,2023,720,13200.0
1,2023,721,13200.0
1,2023,722,13200.0
1,2023,723,13200.0
1,2023,724,13200.0
1,2023,725,13200.0
1,2023,726,13200.0
1,2023,727,13200.0
1,2023,728,13200.0
1,2023,729,13200.0
1,2023,730,13200.0
1,2023,731,13200.0
1,2023,732,13200.0
1,2023,733,13200.0
1,2023,734,13200.0
1,2023,735,13200.0
1,2023,736,13200.0
1,2023,737,13200.0
1,2023,738,13200.0
1,2023,739,13200.0
1,2023,740,13200.0
1,2023,741,13200.0
1,2023,742,13200.0
1,2023,743,13200.0
1,2023,744,13200.0
1,2023,745,13200.0
1,2023,746,13200.0
1,2023,747,13200.0
1,2023,748,13200.0
1,2023,749,13200.0
1,2023,750,13200.0
1,2023,751,13200.0
1,2023,752,13200.0
1,2023,753,13200.0
1,2023,754,13200.0
1,2023,755,13200.0
1,2023,756,13200.0
1,2023,757,13200.0
1,2023,758,13200.0
1,2023,759,13200.0
1,2023,760,13200.0
1,2023,761,13200.0
1,2023,762,13200.0
1,2023,763,13200.0
1,2023,764,13200.0
1,2023,765,13200.0
1,2023,766,13200.0
1,2023,767,13200.0
1,2023,768,13200.0
1,2023,769,13200.0
1,2023,770,13200.0
1,2023,771,13200.0
1,2023,772,13200.0
1,2023,773,13200.0
1,2023,774,13200.0
1,2023,775,13200.0
1,2023,776,13200.0
1,2023,777,13200.0
1,2023,778,13200.0
1,2023,779,12100.0
1,2023,780,12100.0
1,2023,781,12100.0
1,2023,782,12100.0
1,2023,783,12100.0
1,2023,784,12100.0
1,2023,785,13200.0
1,2023,786,13200.0
1,2023,787,13200.0
1,2023,788,13200.0
1,2023,789,13200.0
1,2023,790,13200.0
1,2023,791,13200.0
1,2023,792,13200.0
